0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:25 +0800] "GET /scfyd/js/modernizr.min.js HTTP/1.1" 200 15153
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:25 +0800] "GET /scfyd/js/scripts.js HTTP/1.1" 200 4722
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:25 +0800] "GET /scfyd/js/validation-init.js HTTP/1.1" 200 3075
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:25 +0800] "GET /scfyd/js/jquery.validate.min.js HTTP/1.1" 200 21090
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:25 +0800] "GET /scfyd/js/sysManager/homePage/homePage.js HTTP/1.1" 200 15297
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:25 +0800] "GET /scfyd/js/fullcalendar/fullcalendar.js HTTP/1.1" 200 124632
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:25 +0800] "GET /scfyd/js/bootstrap-table.js HTTP/1.1" 200 50657
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:25 +0800] "GET /scfyd/js/jquery-ui-1.9.2.custom.min.js HTTP/1.1" 200 237802
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:25 +0800] "GET /scfyd/js/echarts.js HTTP/1.1" 200 2433853
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:25 +0800] "POST /scfyd/warning/count?_dc=1497401005830 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:25 +0800] "POST /scfyd/activiti/getAgencyTaskNum?_dc=1497401005849 HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:25 +0800] "POST /scfyd/activiti/getHandleTaskNum?_dc=1497401005860 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:25 +0800] "POST /scfyd/homeInfo/list?_dc=1497401005873 HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:25 +0800] "POST /scfyd/classNews/list?_dc=1497401005921 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:25 +0800] "POST /scfyd/classNews/list?_dc=1497401005938 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:25 +0800] "POST /scfyd/internalAnnouncement/list?_dc=1497401005955 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:25 +0800] "POST /scfyd/document/list?_dc=1497401005971 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:39 +0800] "GET /scfyd/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:39 +0800] "GET /scfyd/homePage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:40 +0800] "POST /scfyd/warning/count?_dc=1497401020061 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:40 +0800] "POST /scfyd/activiti/getAgencyTaskNum?_dc=1497401020080 HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:40 +0800] "POST /scfyd/activiti/getHandleTaskNum?_dc=1497401020090 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:40 +0800] "POST /scfyd/homeInfo/list?_dc=1497401020104 HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:40 +0800] "POST /scfyd/classNews/list?_dc=1497401020122 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:40 +0800] "POST /scfyd/classNews/list?_dc=1497401020137 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:40 +0800] "POST /scfyd/internalAnnouncement/list?_dc=1497401020151 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:40 +0800] "POST /scfyd/document/list?_dc=1497401020166 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:41 +0800] "GET /scfyd/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:41 +0800] "POST /scfyd/warning/count?_dc=1497401021801 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:41 +0800] "POST /scfyd/activiti/getAgencyTaskNum?_dc=1497401021818 HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:41 +0800] "POST /scfyd/activiti/getHandleTaskNum?_dc=1497401021828 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:41 +0800] "POST /scfyd/homeInfo/list?_dc=1497401021841 HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:41 +0800] "POST /scfyd/classNews/list?_dc=1497401021858 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:41 +0800] "POST /scfyd/classNews/list?_dc=1497401021872 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:41 +0800] "POST /scfyd/internalAnnouncement/list?_dc=1497401021887 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:41 +0800] "POST /scfyd/document/list?_dc=1497401021901 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:57 +0800] "GET /scfyd/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:58 +0800] "GET /scfyd/homePage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:58 +0800] "GET /scfyd/js/sysManager/homePage/homePage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:58 +0800] "POST /scfyd/warning/count?_dc=1497401038538 HTTP/1.1" 200 13
